Municipality,Points
Ulstein,"[(62.337282157251636, 5.838163325341653), (62.341282157251634, 5.838163325341653), (62.341282157251634, 5.8421633253416525), (62.341282157251634, 5.846163325341652), (62.341282157251634, 5.850163325341652), (62.34528215725163, 5.838163325341653), (62.34528215725163, 5.8421633253416525), (62.34528215725163, 5.846163325341652), (62.34528215725163, 5.850163325341652), (62.34928215725163, 5.850163325341652)]"
Vanylven,"[(62.12651382306384, 5.400016652038104), (62.130513823063836, 5.400016652038104), (62.130513823063836, 5.404016652038104), (62.130513823063836, 5.4080166520381034), (62.130513823063836, 5.412016652038103), (62.134513823063834, 5.400016652038104), (62.134513823063834, 5.404016652038104), (62.134513823063834, 5.4080166520381034), (62.134513823063834, 5.412016652038103), (62.13851382306383, 5.412016652038103)]"
Vestnes,"[(62.62177411704547, 7.084162414885131), (62.62577411704547, 7.084162414885131), (62.62577411704547, 7.08816241488513), (62.62577411704547, 7.09216241488513), (62.62577411704547, 7.096162414885129), (62.629774117045464, 7.084162414885131), (62.629774117045464, 7.08816241488513), (62.629774117045464, 7.09216241488513), (62.629774117045464, 7.096162414885129), (62.63377411704546, 7.096162414885129)]"
Volda,"[(62.135757818054024, 6.073431317654507), (62.13975781805402, 6.073431317654507), (62.13975781805402, 6.077431317654507), (62.13975781805402, 6.0814313176545065), (62.13975781805402, 6.085431317654506), (62.14375781805402, 6.073431317654507), (62.14375781805402, 6.077431317654507), (62.14375781805402, 6.0814313176545065), (62.14375781805402, 6.085431317654506), (62.14775781805402, 6.085431317654506)]"
Ørskog,"[(62.45946894704779, 6.776397448512748), (62.46346894704779, 6.776397448512748), (62.46346894704779, 6.780397448512748), (62.46346894704779, 6.784397448512747), (62.46346894704779, 6.788397448512747), (62.467468947047784, 6.776397448512748), (62.467468947047784, 6.780397448512748), (62.467468947047784, 6.784397448512747), (62.467468947047784, 6.788397448512747), (62.47146894704778, 6.788397448512747)]"
Agdenes,"[(63.5895188811837, 9.790674704873869), (63.5895188811837, 9.794674704873868), (63.5895188811837, 9.798674704873868), (63.5895188811837, 9.802674704873867), (63.5935188811837, 9.78667470487387), (63.5935188811837, 9.790674704873869), (63.5935188811837, 9.794674704873868), (63.5935188811837, 9.798674704873868), (63.5935188811837, 9.802674704873867)]"
Bjugn,"[(63.75969423657811, 10.019477104236156), (63.75969423657811, 10.023477104236155), (63.75969423657811, 10.027477104236155), (63.75969423657811, 10.031477104236155), (63.75969423657811, 10.035477104236154), (63.76369423657811, 10.019477104236156), (63.76369423657811, 10.023477104236155), (63.76369423657811, 10.027477104236155), (63.76369423657811, 10.031477104236155), (63.76369423657811, 10.035477104236154)]"
Flatanger,"[(64.49591173376606, 10.845337744090601), (64.49591173376606, 10.849337744090601), (64.49591173376606, 10.8533377440906), (64.49591173376606, 10.8573377440906), (64.49591173376606, 10.8613377440906), (64.49991173376607, 10.845337744090601), (64.49991173376607, 10.849337744090601), (64.49991173376607, 10.8533377440906), (64.49991173376607, 10.8573377440906), (64.49991173376607, 10.8613377440906)]"
Fosnes,"[(64.66926438048694, 11.28041612883997), (64.66926438048694, 11.28441612883997), (64.66926438048694, 11.28841612883997), (64.66926438048694, 11.29241612883997), (64.66926438048694, 11.296416128839969), (64.67326438048694, 11.28041612883997), (64.67326438048694, 11.28441612883997), (64.67326438048694, 11.28841612883997), (64.67326438048694, 11.29241612883997), (64.67326438048694, 11.296416128839969)]"
Frosta,"[(63.58547945946201, 10.760528105234448), (63.58547945946201, 10.764528105234447), (63.58547945946201, 10.768528105234447), (63.58547945946201, 10.772528105234446), (63.589479459462005, 10.756528105234448), (63.589479459462005, 10.760528105234448), (63.589479459462005, 10.764528105234447), (63.589479459462005, 10.768528105234447), (63.589479459462005, 10.772528105234446)]"
Frøya,"[(63.722565241628814, 8.832056212880142), (63.722565241628814, 8.836056212880141), (63.722565241628814, 8.84005621288014), (63.722565241628814, 8.84405621288014), (63.72656524162881, 8.828056212880142), (63.72656524162881, 8.832056212880142), (63.72656524162881, 8.836056212880141), (63.72656524162881, 8.84005621288014), (63.72656524162881, 8.84405621288014)]"
Grong,"[(64.45800076755286, 12.307833153359983), (64.45800076755286, 12.311833153359983), (64.45800076755286, 12.315833153359982), (64.45800076755286, 12.319833153359982), (64.45800076755286, 12.323833153359981), (64.46200076755287, 12.307833153359983), (64.46200076755287, 12.311833153359983), (64.46200076755287, 12.315833153359982), (64.46200076755287, 12.319833153359982), (64.46200076755287, 12.323833153359981)]"
Hemne,"[(63.29200222740412, 9.084567934493105), (63.29200222740412, 9.088567934493105), (63.29200222740412, 9.092567934493104), (63.29200222740412, 9.096567934493104), (63.29600222740412, 9.080567934493105), (63.29600222740412, 9.084567934493105), (63.29600222740412, 9.088567934493105), (63.29600222740412, 9.092567934493104), (63.29600222740412, 9.096567934493104)]"
Hitra,"[(63.60190635600473, 8.95942668471853), (63.60190635600473, 8.963426684718529), (63.60190635600473, 8.967426684718529), (63.60190635600473, 8.971426684718528), (63.60590635600473, 8.95542668471853), (63.60590635600473, 8.95942668471853), (63.60590635600473, 8.963426684718529), (63.60590635600473, 8.967426684718529), (63.60590635600473, 8.971426684718528)]"
Holtålen,"[(62.83660418119923, 11.301312020617669), (62.83660418119923, 11.305312020617668), (62.83660418119923, 11.309312020617668), (62.83660418119923, 11.313312020617667), (62.840604181199225, 11.301312020617669), (62.840604181199225, 11.305312020617668), (62.840604181199225, 11.309312020617668), (62.840604181199225, 11.313312020617667)]"
Høylandet,"[(64.62830639031705, 12.291040690682413), (64.62830639031705, 12.295040690682413), (64.62830639031705, 12.299040690682412), (64.62830639031705, 12.303040690682412), (64.62830639031705, 12.307040690682411), (64.63230639031705, 12.291040690682413), (64.63230639031705, 12.295040690682413), (64.63230639031705, 12.299040690682412), (64.63230639031705, 12.303040690682412), (64.63230639031705, 12.307040690682411)]"
Inderøy,"[(63.86966450522826, 11.28444171299575), (63.86966450522826, 11.28844171299575), (63.86966450522826, 11.29244171299575), (63.86966450522826, 11.29644171299575), (63.86966450522826, 11.300441712995749), (63.873664505228255, 11.28444171299575), (63.873664505228255, 11.28844171299575), (63.873664505228255, 11.29244171299575), (63.873664505228255, 11.29644171299575), (63.873664505228255, 11.300441712995749)]"
Indre Fosen,"[(63.577379618839494, 10.216863981827755), (63.577379618839494, 10.220863981827755), (63.577379618839494, 10.224863981827754), (63.577379618839494, 10.228863981827754), (63.58137961883949, 10.212863981827756), (63.58137961883949, 10.216863981827755), (63.58137961883949, 10.220863981827755), (63.58137961883949, 10.224863981827754), (63.58137961883949, 10.228863981827754)]"
Klæbu,"[(63.31298447454611, 10.380800037018926), (63.31298447454611, 10.384800037018925), (63.31298447454611, 10.388800037018925), (63.31298447454611, 10.392800037018924), (63.31698447454611, 10.376800037018926), (63.31698447454611, 10.380800037018926), (63.31698447454611, 10.384800037018925), (63.31698447454611, 10.388800037018925), (63.31698447454611, 10.392800037018924)]"
Leka,"[(65.1001896072076, 11.646673915348005), (65.1001896072076, 11.650673915348005), (65.1001896072076, 11.654673915348004), (65.1001896072076, 11.658673915348004), (65.1001896072076, 11.662673915348003), (65.1041896072076, 11.646673915348005), (65.1041896072076, 11.650673915348005), (65.1041896072076, 11.654673915348004), (65.1041896072076, 11.658673915348004), (65.1041896072076, 11.662673915348003)]"
Levanger,"[(63.7437671387575, 11.280673157445312), (63.7437671387575, 11.284673157445312), (63.7437671387575, 11.288673157445311), (63.7437671387575, 11.29267315744531), (63.7437671387575, 11.29667315744531), (63.747767138757496, 11.280673157445312), (63.747767138757496, 11.284673157445312), (63.747767138757496, 11.288673157445311), (63.747767138757496, 11.29267315744531), (63.747767138757496, 11.29667315744531)]"
Lierne,"[(64.47585456121594, 13.596262068784387), (64.47585456121594, 13.600262068784387), (64.47585456121594, 13.604262068784386), (64.47585456121594, 13.608262068784386), (64.47585456121594, 13.612262068784386), (64.47985456121594, 13.596262068784387), (64.47985456121594, 13.600262068784387), (64.47985456121594, 13.604262068784386), (64.47985456121594, 13.608262068784386), (64.47985456121594, 13.612262068784386)]"
Malvik,"[(63.416011376384844, 10.805644802257433), (63.416011376384844, 10.809644802257433), (63.416011376384844, 10.813644802257432), (63.416011376384844, 10.817644802257432), (63.42001137638484, 10.801644802257433), (63.42001137638484, 10.805644802257433), (63.42001137638484, 10.809644802257433), (63.42001137638484, 10.813644802257432), (63.42001137638484, 10.817644802257432)]"
Meldal,"[(63.05562131850349, 9.707957608382538), (63.05562131850349, 9.711957608382537), (63.05562131850349, 9.715957608382537), (63.05562131850349, 9.719957608382536), (63.05962131850349, 9.707957608382538), (63.05962131850349, 9.711957608382537), (63.05962131850349, 9.715957608382537), (63.05962131850349, 9.719957608382536)]"
Meråker,"[(63.42255852920727, 11.747475841887443), (63.42255852920727, 11.751475841887443), (63.42255852920727, 11.755475841887442), (63.42255852920727, 11.759475841887442), (63.42655852920727, 11.743475841887443), (63.42655852920727, 11.747475841887443), (63.42655852920727, 11.751475841887443), (63.42655852920727, 11.755475841887442), (63.42655852920727, 11.759475841887442)]"
Midtre Gauldal,"[(62.947446352376694, 10.478063314707985), (62.947446352376694, 10.482063314707984), (62.947446352376694, 10.486063314707984), (62.947446352376694, 10.490063314707983), (62.95144635237669, 10.478063314707985), (62.95144635237669, 10.482063314707984), (62.95144635237669, 10.486063314707984), (62.95144635237669, 10.490063314707983)]"
Namsos,"[(64.46786818658977, 11.495127023636803), (64.46786818658977, 11.499127023636802), (64.46786818658977, 11.503127023636802), (64.46786818658977, 11.507127023636802), (64.46786818658977, 11.511127023636801), (64.47186818658977, 11.495127023636803), (64.47186818658977, 11.499127023636802), (64.47186818658977, 11.503127023636802), (64.47186818658977, 11.507127023636802), (64.47186818658977, 11.511127023636801)]"
Namsskogan,"[(64.9197584507361, 13.15026197335236), (64.9197584507361, 13.154261973352359), (64.9197584507361, 13.158261973352358), (64.9197584507361, 13.162261973352358), (64.9197584507361, 13.166261973352357), (64.9237584507361, 13.15026197335236), (64.9237584507361, 13.154261973352359), (64.9237584507361, 13.158261973352358), (64.9237584507361, 13.162261973352358), (64.9237584507361, 13.166261973352357)]"
Oppdal,"[(62.596139967715565, 9.692402262449594), (62.596139967715565, 9.696402262449594), (62.596139967715565, 9.700402262449593), (62.596139967715565, 9.704402262449593), (62.60013996771556, 9.692402262449594), (62.60013996771556, 9.696402262449594), (62.60013996771556, 9.700402262449593), (62.60013996771556, 9.704402262449593)]"
Selbu,"[(63.21580821055743, 11.033881163317773), (63.21580821055743, 11.037881163317772), (63.21580821055743, 11.041881163317772), (63.21580821055743, 11.045881163317771), (63.219808210557424, 11.033881163317773), (63.219808210557424, 11.037881163317772), (63.219808210557424, 11.041881163317772), (63.219808210557424, 11.045881163317771)]"
Trondheim,"[(63.4299242155534, 10.38204393674311), (63.4299242155534, 10.386043936743109), (63.4299242155534, 10.390043936743108), (63.4299242155534, 10.394043936743108), (63.4339242155534, 10.37804393674311), (63.4339242155534, 10.38204393674311), (63.4339242155534, 10.386043936743109), (63.4339242155534, 10.390043936743108), (63.4339242155534, 10.394043936743108)]"
Tydal,"[(63.02238250324945, 11.930523565576166), (63.02238250324945, 11.934523565576166), (63.02238250324945, 11.938523565576165), (63.02238250324945, 11.942523565576165), (63.02638250324945, 11.930523565576166), (63.02638250324945, 11.934523565576166), (63.02638250324945, 11.938523565576165), (63.02638250324945, 11.942523565576165)]"
Verdal,"[(63.793619836573384, 11.47732996731481), (63.793619836573384, 11.48132996731481), (63.793619836573384, 11.48532996731481), (63.793619836573384, 11.48932996731481), (63.793619836573384, 11.493329967314809), (63.79761983657338, 11.47732996731481), (63.79761983657338, 11.48132996731481), (63.79761983657338, 11.48532996731481), (63.79761983657338, 11.48932996731481), (63.79761983657338, 11.493329967314809)]"
Ørland,"[(63.68338651200725, 9.64779869553149), (63.68338651200725, 9.65179869553149), (63.68338651200725, 9.65579869553149), (63.68338651200725, 9.659798695531489), (63.68338651200725, 9.663798695531488), (63.68738651200725, 9.64779869553149), (63.68738651200725, 9.65179869553149), (63.68738651200725, 9.65579869553149), (63.68738651200725, 9.659798695531489), (63.68738651200725, 9.663798695531488)]"
Alstahaug,"[(65.94212509184881, 12.461192877833934), (65.94212509184881, 12.465192877833934), (65.94212509184881, 12.469192877833933), (65.94212509184881, 12.473192877833933), (65.94212509184881, 12.477192877833932), (65.94612509184881, 12.461192877833934), (65.94612509184881, 12.465192877833934), (65.94612509184881, 12.469192877833933), (65.94612509184881, 12.473192877833933), (65.94612509184881, 12.477192877833932)]"
Andøy,"[(69.2959094314132, 16.13067095485796), (69.2959094314132, 16.13467095485796), (69.2959094314132, 16.13867095485796), (69.2959094314132, 16.142670954857962), (69.2959094314132, 16.146670954857964), (69.2999094314132, 16.13067095485796), (69.2999094314132, 16.13467095485796), (69.2999094314132, 16.13867095485796), (69.2999094314132, 16.142670954857962), (69.2999094314132, 16.146670954857964)]"
Ballangen,"[(68.33881016285775, 16.835377554801486), (68.33881016285775, 16.839377554801487), (68.33881016285775, 16.84337755480149), (68.33881016285775, 16.84737755480149), (68.33881016285775, 16.85137755480149), (68.34281016285776, 16.835377554801486), (68.34281016285776, 16.839377554801487), (68.34281016285776, 16.84337755480149), (68.34281016285776, 16.84737755480149), (68.34281016285776, 16.85137755480149)]"
Beiarn,"[(67.02987447285457, 14.553670226108208), (67.02987447285457, 14.557670226108208), (67.02987447285457, 14.561670226108207), (67.02987447285457, 14.565670226108207), (67.02987447285457, 14.569670226108206), (67.03387447285458, 14.553670226108208), (67.03387447285458, 14.557670226108208), (67.03387447285458, 14.561670226108207), (67.03387447285458, 14.565670226108207), (67.03387447285458, 14.569670226108206)]"
Bindal,"[(65.07946914875643, 12.415684724349914), (65.07946914875643, 12.419684724349914), (65.07946914875643, 12.423684724349913), (65.07946914875643, 12.427684724349913), (65.07946914875643, 12.431684724349912), (65.08346914875644, 12.415684724349914), (65.08346914875644, 12.419684724349914), (65.08346914875644, 12.423684724349913), (65.08346914875644, 12.427684724349913), (65.08346914875644, 12.431684724349912)]"
Bodø,"[(67.280506759888, 14.386686985116691), (67.280506759888, 14.390686985116691), (67.280506759888, 14.39468698511669), (67.280506759888, 14.39868698511669), (67.280506759888, 14.40268698511669), (67.284506759888, 14.386686985116691), (67.284506759888, 14.390686985116691), (67.284506759888, 14.39468698511669), (67.284506759888, 14.39868698511669), (67.284506759888, 14.40268698511669)]"
Brønnøy,"[(65.47077740379616, 12.204402055487419), (65.47077740379616, 12.208402055487419), (65.47077740379616, 12.212402055487418), (65.47077740379616, 12.216402055487418), (65.47077740379616, 12.220402055487417), (65.47477740379617, 12.204402055487419), (65.47477740379617, 12.208402055487419), (65.47477740379617, 12.212402055487418), (65.47477740379617, 12.216402055487418), (65.47477740379617, 12.220402055487417)]"
Brønnøysund - kystlinjen,"[(65.47037917801288, 12.182839723752869), (65.47037917801288, 12.186839723752868), (65.47037917801288, 12.190839723752868), (65.47037917801288, 12.194839723752867), (65.47037917801288, 12.198839723752867), (65.47437917801288, 12.182839723752869), (65.47437917801288, 12.186839723752868), (65.47437917801288, 12.190839723752868), (65.47437917801288, 12.194839723752867), (65.47437917801288, 12.198839723752867)]"
Dønna,"[(66.06868102498352, 12.514942465922262), (66.06868102498352, 12.518942465922262), (66.06868102498352, 12.522942465922261), (66.06868102498352, 12.52694246592226), (66.06868102498352, 12.53094246592226), (66.07268102498352, 12.514942465922262), (66.07268102498352, 12.518942465922262), (66.07268102498352, 12.522942465922261), (66.07268102498352, 12.52694246592226), (66.07268102498352, 12.53094246592226)]"
Evenes,"[(68.50121953366892, 16.750797612748734), (68.50121953366892, 16.754797612748735), (68.50121953366892, 16.758797612748737), (68.50121953366892, 16.762797612748738), (68.50121953366892, 16.76679761274874), (68.50521953366892, 16.750797612748734), (68.50521953366892, 16.754797612748735), (68.50521953366892, 16.758797612748737), (68.50521953366892, 16.762797612748738), (68.50521953366892, 16.76679761274874)]"
Fauske,"[(67.25424539898897, 15.384040049572155), (67.25424539898897, 15.388040049572155), (67.25424539898897, 15.392040049572154), (67.25424539898897, 15.396040049572154), (67.25424539898897, 15.400040049572153), (67.25824539898898, 15.384040049572155), (67.25824539898898, 15.388040049572155), (67.25824539898898, 15.392040049572154), (67.25824539898898, 15.396040049572154), (67.25824539898898, 15.400040049572153)]"
Flakstad,"[(68.0975489667105, 13.236054071219687), (68.0975489667105, 13.240054071219687), (68.0975489667105, 13.244054071219686), (68.0975489667105, 13.248054071219686), (68.0975489667105, 13.252054071219685), (68.10154896671051, 13.236054071219687), (68.10154896671051, 13.240054071219687), (68.10154896671051, 13.244054071219686), (68.10154896671051, 13.248054071219686), (68.10154896671051, 13.252054071219685)]"
Gildeskål,"[(67.0274117271661, 14.002589516921258), (67.0274117271661, 14.006589516921258), (67.0274117271661, 14.010589516921257), (67.0274117271661, 14.014589516921257), (67.0274117271661, 14.018589516921256), (67.0314117271661, 14.002589516921258), (67.0314117271661, 14.006589516921258), (67.0314117271661, 14.010589516921257), (67.0314117271661, 14.014589516921257), (67.0314117271661, 14.018589516921256)]"
Grane,"[(65.56843962386446, 13.364674762950843), (65.56843962386446, 13.368674762950842), (65.56843962386446, 13.372674762950842), (65.56843962386446, 13.376674762950842), (65.56843962386446, 13.380674762950841), (65.57243962386447, 13.364674762950843), (65.57243962386447, 13.368674762950842), (65.57243962386447, 13.372674762950842), (65.57243962386447, 13.376674762950842), (65.57243962386447, 13.380674762950841)]"
Hadsel,"[(68.50146795548052, 14.91664105738667), (68.50146795548052, 14.92064105738667), (68.50146795548052, 14.924641057386669), (68.50146795548052, 14.928641057386669), (68.50146795548052, 14.932641057386668), (68.50546795548053, 14.91664105738667), (68.50546795548053, 14.92064105738667), (68.50546795548053, 14.924641057386669), (68.50546795548053, 14.928641057386669), (68.50546795548053, 14.932641057386668)]"
Hamarøy,"[(68.07876236057193, 15.614123025146506), (68.07876236057193, 15.618123025146506), (68.07876236057193, 15.622123025146506), (68.07876236057193, 15.626123025146505), (68.07876236057193, 15.630123025146505), (68.08276236057193, 15.614123025146506), (68.08276236057193, 15.618123025146506), (68.08276236057193, 15.622123025146506), (68.08276236057193, 15.626123025146505), (68.08276236057193, 15.630123025146505)]"
Hattfjelldal,"[(65.60062884385297, 13.970257363826196), (65.60062884385297, 13.974257363826196), (65.60062884385297, 13.978257363826195), (65.60062884385297, 13.982257363826195), (65.60062884385297, 13.986257363826194), (65.60462884385298, 13.970257363826196), (65.60462884385298, 13.974257363826196), (65.60462884385298, 13.978257363826195), (65.60462884385298, 13.982257363826195), (65.60462884385298, 13.986257363826194)]"
Hemnes,"[(66.2114465251987, 14.079002887831672), (66.2114465251987, 14.083002887831672), (66.2114465251987, 14.087002887831671), (66.2114465251987, 14.09100288783167), (66.2114465251987, 14.09500288783167), (66.2154465251987, 14.079002887831672), (66.2154465251987, 14.083002887831672), (66.2154465251987, 14.087002887831671), (66.2154465251987, 14.09100288783167), (66.2154465251987, 14.09500288783167)]"
Leirfjord,"[(66.08290844646147, 12.867452600163894), (66.08290844646147, 12.871452600163893), (66.08290844646147, 12.875452600163893), (66.08290844646147, 12.879452600163892), (66.08290844646147, 12.883452600163892), (66.08690844646148, 12.867452600163894), (66.08690844646148, 12.871452600163893), (66.08690844646148, 12.875452600163893), (66.08690844646148, 12.879452600163892), (66.08690844646148, 12.883452600163892)]"
Lurøy,"[(66.41430585317805, 12.816974292861643), (66.41430585317805, 12.820974292861642), (66.41430585317805, 12.824974292861642), (66.41430585317805, 12.828974292861641), (66.41430585317805, 12.83297429286164), (66.41830585317805, 12.816974292861643), (66.41830585317805, 12.820974292861642), (66.41830585317805, 12.824974292861642), (66.41830585317805, 12.828974292861641), (66.41830585317805, 12.83297429286164)]"
Lurøy - på fastlandet,"[(66.41430585317805, 12.816974292861643), (66.41430585317805, 12.820974292861642), (66.41430585317805, 12.824974292861642), (66.41430585317805, 12.828974292861641), (66.41430585317805, 12.83297429286164), (66.41830585317805, 12.816974292861643), (66.41830585317805, 12.820974292861642), (66.41830585317805, 12.824974292861642), (66.41830585317805, 12.828974292861641), (66.41830585317805, 12.83297429286164)]"
Lødingen,"[(68.4088161838494, 15.98851423372853), (68.4088161838494, 15.99251423372853), (68.4088161838494, 15.99651423372853), (68.4088161838494, 16.00051423372853), (68.4088161838494, 16.004514233728532), (68.4128161838494, 15.98851423372853), (68.4128161838494, 15.99251423372853), (68.4128161838494, 15.99651423372853), (68.4128161838494, 16.00051423372853), (68.4128161838494, 16.004514233728532)]"
Meløy,"[(66.85469939724305, 13.690301994663043), (66.85469939724305, 13.694301994663043), (66.85469939724305, 13.698301994663042), (66.85469939724305, 13.702301994663042), (66.85469939724305, 13.706301994663042), (66.85869939724306, 13.690301994663043), (66.85869939724306, 13.694301994663043), (66.85869939724306, 13.698301994663042), (66.85869939724306, 13.702301994663042), (66.85869939724306, 13.706301994663042)]"
Moskenes,"[(67.91526033013841, 12.987516375052751), (67.91526033013841, 12.99151637505275), (67.91526033013841, 12.99551637505275), (67.91526033013841, 12.99951637505275), (67.91526033013841, 13.00351637505275), (67.91926033013841, 12.987516375052751), (67.91926033013841, 12.99151637505275), (67.91926033013841, 12.99551637505275), (67.91926033013841, 12.99951637505275), (67.91926033013841, 13.00351637505275)]"
Narvik,"[(68.43888197809997, 17.429079541030507), (68.43888197809997, 17.43307954103051), (68.43888197809997, 17.43707954103051), (68.43888197809997, 17.44107954103051), (68.43888197809997, 17.445079541030513), (68.44288197809998, 17.429079541030507), (68.44288197809998, 17.43307954103051), (68.44288197809998, 17.43707954103051), (68.44288197809998, 17.44107954103051), (68.44288197809998, 17.445079541030513)]"
Nesna,"[(66.19255073416393, 13.013738483576676), (66.19255073416393, 13.017738483576675), (66.19255073416393, 13.021738483576675), (66.19255073416393, 13.025738483576674), (66.19255073416393, 13.029738483576674), (66.19655073416394, 13.013738483576676), (66.19655073416394, 13.017738483576675), (66.19655073416394, 13.021738483576675), (66.19655073416394, 13.025738483576674), (66.19655073416394, 13.029738483576674)]"
Rana,"[(66.31049722113431, 14.142342096985379), (66.31049722113431, 14.146342096985379), (66.31049722113431, 14.150342096985378), (66.31049722113431, 14.154342096985378), (66.31049722113431, 14.158342096985377), (66.31449722113432, 14.142342096985379), (66.31449722113432, 14.146342096985379), (66.31449722113432, 14.150342096985378), (66.31449722113432, 14.154342096985378), (66.31449722113432, 14.158342096985377)]"
Rødøy,"[(66.67782837609064, 13.065593169865318), (66.67782837609064, 13.069593169865318), (66.67782837609064, 13.073593169865317), (66.67782837609064, 13.077593169865317), (66.67782837609064, 13.081593169865316), (66.68182837609065, 13.065593169865318), (66.68182837609065, 13.069593169865318), (66.68182837609065, 13.073593169865317), (66.68182837609065, 13.077593169865317), (66.68182837609065, 13.081593169865316)]"
Røst,"[(67.51569272915383, 12.083330542825752), (67.51569272915383, 12.087330542825752), (67.51569272915383, 12.091330542825752), (67.51569272915383, 12.095330542825751), (67.51569272915383, 12.09933054282575), (67.51969272915383, 12.083330542825752), (67.51969272915383, 12.087330542825752), (67.51969272915383, 12.091330542825752), (67.51969272915383, 12.095330542825751), (67.51969272915383, 12.09933054282575)]"
Saltdal,"[(66.86858258061487, 15.355014318377666), (66.86858258061487, 15.359014318377666), (66.86858258061487, 15.363014318377665), (66.86858258061487, 15.367014318377665), (66.86858258061487, 15.371014318377664), (66.87258258061487, 15.355014318377666), (66.87258258061487, 15.359014318377666), (66.87258258061487, 15.363014318377665), (66.87258258061487, 15.367014318377665), (66.87258258061487, 15.371014318377664)]"
Sortland,"[(68.69827490779159, 15.409360024623167), (68.69827490779159, 15.413360024623167), (68.69827490779159, 15.417360024623166), (68.69827490779159, 15.421360024623166), (68.69827490779159, 15.425360024623165), (68.70227490779159, 15.409360024623167), (68.70227490779159, 15.413360024623167), (68.70227490779159, 15.417360024623166), (68.70227490779159, 15.421360024623166), (68.70227490779159, 15.425360024623165)]"
Steigen,"[(67.78395053055766, 14.989999999999984), (67.78395053055766, 14.993999999999984), (67.78395053055766, 14.997999999999983), (67.78395053055766, 15.001999999999983), (67.78395053055766, 15.005999999999982), (67.78795053055767, 14.989999999999984), (67.78795053055767, 14.993999999999984), (67.78795053055767, 14.997999999999983), (67.78795053055767, 15.001999999999983), (67.78795053055767, 15.005999999999982)]"
Sømna,"[(65.31763331549557, 12.177649554110246), (65.31763331549557, 12.181649554110246), (65.31763331549557, 12.185649554110245), (65.31763331549557, 12.189649554110245), (65.31763331549557, 12.193649554110245), (65.32163331549557, 12.177649554110246), (65.32163331549557, 12.181649554110246), (65.32163331549557, 12.185649554110245), (65.32163331549557, 12.189649554110245), (65.32163331549557, 12.193649554110245)]"
Sørfold,"[(67.37908279048209, 15.619101685107317), (67.37908279048209, 15.623101685107317), (67.37908279048209, 15.627101685107316), (67.37908279048209, 15.631101685107316), (67.37908279048209, 15.635101685107315), (67.38308279048209, 15.619101685107317), (67.38308279048209, 15.623101685107317), (67.38308279048209, 15.627101685107316), (67.38308279048209, 15.631101685107316), (67.38308279048209, 15.635101685107315)]"
Tjeldsund,"[(68.57659597684312, 16.364034589771393), (68.57659597684312, 16.368034589771394), (68.57659597684312, 16.372034589771395), (68.57659597684312, 16.376034589771397), (68.57659597684312, 16.380034589771398), (68.58059597684313, 16.364034589771393), (68.58059597684313, 16.368034589771394), (68.58059597684313, 16.372034589771395), (68.58059597684313, 16.376034589771397), (68.58059597684313, 16.380034589771398)]"
Træna,"[(66.50082583539952, 12.067207822657812), (66.50082583539952, 12.071207822657811), (66.50082583539952, 12.075207822657811), (66.50082583539952, 12.07920782265781), (66.50082583539952, 12.08320782265781), (66.50482583539953, 12.067207822657812), (66.50482583539953, 12.071207822657811), (66.50482583539953, 12.075207822657811), (66.50482583539953, 12.07920782265781), (66.50482583539953, 12.08320782265781)]"
Træna,"[(66.50082583539952, 12.067207822657812), (66.50082583539952, 12.071207822657811), (66.50082583539952, 12.075207822657811), (66.50082583539952, 12.07920782265781), (66.50082583539952, 12.08320782265781), (66.50482583539953, 12.067207822657812), (66.50482583539953, 12.071207822657811), (66.50482583539953, 12.075207822657811), (66.50482583539953, 12.07920782265781), (66.50482583539953, 12.08320782265781)]"
Tysfjord,"[(68.18462491431777, 15.978752847375151), (68.18462491431777, 15.982752847375151), (68.18462491431777, 15.98675284737515), (68.18462491431777, 15.99075284737515), (68.18462491431777, 15.99475284737515), (68.18862491431777, 15.978752847375151), (68.18862491431777, 15.982752847375151), (68.18862491431777, 15.98675284737515), (68.18862491431777, 15.99075284737515), (68.18862491431777, 15.99475284737515)]"
Vefsn,"[(65.86241357003031, 13.170714283490465), (65.86241357003031, 13.174714283490465), (65.86241357003031, 13.178714283490464), (65.86241357003031, 13.182714283490464), (65.86241357003031, 13.186714283490463), (65.86641357003032, 13.170714283490465), (65.86641357003032, 13.174714283490465), (65.86641357003032, 13.178714283490464), (65.86641357003032, 13.182714283490464), (65.86641357003032, 13.186714283490463)]"
Vefsn - langs fjorden,"[(65.86241357003031, 13.170714283490465), (65.86241357003031, 13.174714283490465), (65.86241357003031, 13.178714283490464), (65.86241357003031, 13.182714283490464), (65.86241357003031, 13.186714283490463), (65.86641357003032, 13.170714283490465), (65.86641357003032, 13.174714283490465), (65.86641357003032, 13.178714283490464), (65.86641357003032, 13.182714283490464), (65.86641357003032, 13.186714283490463)]"
Vefsn - Mosjøen,"[(65.83551179874537, 13.17261699075832), (65.83551179874537, 13.176616990758319), (65.83551179874537, 13.180616990758319), (65.83551179874537, 13.184616990758318), (65.83551179874537, 13.188616990758318), (65.83951179874538, 13.17261699075832), (65.83951179874538, 13.176616990758319), (65.83951179874538, 13.180616990758319), (65.83951179874538, 13.184616990758318), (65.83951179874538, 13.188616990758318)]"
