Municipality,Latitude,Longitude,Beta,Char
Narvik,68.4385,17.4279,3.7999993372834275,5.646347850259935
Nesna,66.1961,13.0194,3.8000000236472227,4.282817894925278
Rana,66.3106,14.1428,3.8000001179405962,5.136904918789896
Rødøy,66.71277,13.29149,3.8000009643597514,2.1398103434447493
Saltdal,66.8667,15.3667,3.7999995662472386,8.109072086133185
Sortland - Suortá,68.69728,15.39786,3.799999908228111,4.994486530294483
Steigen,67.7833,15.0,3.8000001185485184,3.607586559562423
Sømna,65.3167,12.1833,3.7999996261470477,3.307075902010218
Sørfold,67.3833,15.6333,3.800000273645916,4.252102752124703
Dielddanuorri - Tjeldsund,68.5833,16.3667,3.800000075282245,13.502085445511684
Tysfjord,68.1833,16.0,3.799999817117368,5.382665664379915
Vefsn,65.8667,13.1833,3.7999996998402295,4.949671589497778
Vefsn - langs fjorden,65.8667,13.1833,3.7999996998402295,4.949671589497778
Vefsn - Mosjøen,65.8358,13.1903,3.7999999267721183,4.661259586952381
Vega,65.6833,11.9333,3.8000003641239504,3.6792092044253266
Vestvågøy,68.25,13.6,3.799999614393445,6.512801451899009
Vevelstad,65.65799,12.43707,3.8,18.453
Værøy,67.6667,12.6833,3.8000000091497848,3.205725278167754
Vågan,68.2833,14.5667,3.7999998873442937,15.063437835203594
Øksnes,68.9167,15.1667,3.800000059252391,5.592757396992855
Balsfjord,69.2403,19.2186,3.7999996736161394,4.754492428011018
Bardu,68.8667,18.35,3.80000072200214,5.572701374259799
Dyrøy,69.0928,17.7083,3.7999997044480422,5.974306653413139
Gáivuotna - Kåfjord - Kaivuono,69.4667,20.6333,3.8000001498179348,8.494842860463356
Gratangen,68.6167,17.5,3.800000044664684,10.41341391094645
Harstad - Hárstták,68.7983,16.5414,3.7999994748647126,5.086581100230792
Ibestad,68.7833,17.1,3.799999224739465,6.231225780953119
Karlsøy,69.96286,19.61316,3.7999999453372437,6.200036296664161
Kvæfjord,68.7667,16.3167,3.7999996316620077,6.818284292460319
Kvænangen,69.9333,22.0333,3.799999511515449,5.29913235438127
Loabák - Lavangen,68.7667,17.7,3.800000035173492,6.858058678935546
Lenvik,69.3667,17.95,3.799999531618913,8.652072141139998
Lyngen,69.5792,20.2083,3.8000000045421567,8.798926906154785
Målselv,69.1,18.6,3.799999578172559,4.91120583879066
Nordreisa - Ráisa - Raisi,69.75,21.0333,3.7999996705616206,6.543104968416395
Salangen,68.9167,17.8333,3.799999736116608,7.689580029982599
Skjervøy,69.9677,20.83246,3.7999999959417274,11.977552792571768
Storfjord - Omasvuotna - Omasvuono,69.3833,19.9833,3.8000003520450556,6.87952292867381
Sørreisa,69.1461,18.1564,3.799999594286688,5.262272984525465
Senja,69.29636,17.60989,3.76759646693071,8.999995639723714
Tranøy,69.2,17.4167,3.8000001764360616,7.883367373139173
Tromsø,69.6723,18.94543,3.799999743733704,7.182143575387791
Alta,69.9689,23.2717,3.800000466436464,3.9741630356588646
Berlevåg,70.8578,29.0861,3.7999997823362395,5.253818733392027
Båtsfjord,70.6333,29.7333,3.7999996659643074,5.049979964484773
Deatnu - Tana,70.19991,28.17052,3.7999995648927354,2.2668718170702506
Gamvik,71.05,28.2333,3.799999445128654,4.020290222933588
Guovdageaidnu - Kautokeino,69.0111,23.0417,3.8000013788567686,1.9973716712857095
Hammerfest - Hámmerfeasta,70.6634,23.6821,3.7999996559661273,6.941072515824153
Hasvik,70.58593,22.29272,3.800000167770319,10.299136472529897
Kárášjohka - Karasjok,69.4719,25.5114,3.7999987149831855,1.9740297990636988
Kvalsund,70.5075,24.0072,3.800000148416568,6.147672969168476
Lebesby,70.5833,27.0,3.800000123478477,3.9347569294037132
Loppa,70.25,22.35,3.8000003532773596,6.970848261850428
Måsøy,71.0,24.6667,3.799999572633006,7.060173443099238
Nordkapp,71.1667,25.7833,3.8,9.520
Porsanger - Porsáŋgu - Porsanki,70.0519,24.9719,3.799999425776931,2.998188484479224
Sør-Varanger,69.6667,29.9833,3.7999990791605582,2.1327959647269994
Unjárga - Nesseby,70.1492,28.8661,3.800000507235934,2.0025528126411083
Vadsø,70.07771,29.75464,3.8000008150973534,3.2314494493426187
